Media Name;Date;Article Tittle;Article Media;Precise Quote;Link Article
Harper's Bazar;19 Juli 2025;"Olivia Rodrigo Went Full Y2K Rockstar in Chainmail and Leather for Lollapalooza Paris
Studs are so back.";Music festival season is still in full swing, and Olivia Rodrigo is having the time of her life.;;https://www.harpersbazaar.com/celebrity/latest/a65454602/olivia-rodrigo-chainmail-top-leather-shorts-lollapalooza-paris/
;;;Fresh off headlining Glastonbury in England—where she surprised fans by bringing out Robert Smith of The Cure to perform “Friday I’m in Love” and “Just Like Heaven”—the singer has returned to the stage, this time jetting off to the City of Light to headline another major event.;;
;;;"For her Lollapalooza Paris performance, Rodrigo continued her streak of blending edgy rock aesthetics with soft, feminine, Y2K-inspired pieces.

She wore a nostalgic chainmail halter top adorned with alternating silver and black stripes. The cropped piece featured an asymmetrical hemline with fringe details.";"For her Lollapalooza Paris performance, Rodrigo continued her streak of blending edgy rock aesthetics with soft, feminine, Y2K-inspired pieces.

She wore a nostalgic chainmail halter top adorned with alternating silver and black stripes. The cropped piece featured an asymmetrical hemline with fringe details.";
;;;"The “Deja Vu” singer paired the standout top with micro leather shorts from R & M Leathers, a brand known for its punk-adjacent staples.

But what really sold the look was her oversized studded belt, which distinctly felt like a callback to the kind of hardware-heavy accessories you’d find during your Hot Topic angst-filled era in high school.";;
;;;"Of course, no outfit of hers feels complete without her signature Dr. Martens, which she wore paired with fishnet tights from Wolford (they retail for just $55).

But even when she’s not stomping around in her chunky combat boots and is attending a much different kind of event, such as Wimbledon, Rodrigo has proven herself to be a definitive rock girly.

While a student of the art, she’s making the stage her own, and that is perhaps the most exciting part of it all.";;
teen VOGUE;23 September 2025;"Olivia Rodrigo Paired Ultra Low-Rise Jeans With the Cutest Keyhole Top
Less is, indeed, more.";"Olivia Rodrigo is crossing the ultimate Y2K dressing frontier and giving one of the most divisive trends of the early 2000s her stamp of approval. Yes, folks, we are talking about low-rise jeans.

In her latest Instagram photo dump, Olivia Rodrigo officially proclaimed herself as a member of team low-rise jeans, and she did so with the cutest outfit combo. In the fourth slide of her Instagram post, Rodrigo was all smiles, posing in the streets of London wearing a pair of stonewash ultra low-rise jeans, which she paired with the Guizio Ara Top in cream.";;https://www.teenvogue.com/story/olivia-rodrigo-paired-ultra-low-rise-jeans-with-the-cutest-keyhole-top
;;;"This is, of course, not the first time we've seen Rodrigo in a low-rise silhouette or in jeans; however, her style evolution has more often than not favored mid- and high-rise denim, so it's definitely one of the first times we've seen a combination of both.";;
;;;Rodrigo's top of choice, made from 100% polyester chiffon and available in seven colorways, was the perfect complement to the low-rise jeans, creating a barely-there midriff peek that showcased her lower abdomen.;;
;;;"The Ara Top, which everyone online seems to be obsessed with, also features a built-in scarf detail, flutter sleeves, and, to add to the peekaboo effect, a keyhole center that extends to the bodice with button-up detailing. Less is, indeed, more — at least when it comes to the fabric construction of these pieces.

If you thought Rodrigo's homage to the '00s ended with her jeans, think again. The star also added a thick silver bangle, another Y2K staple, as well as just a hint of leopard print with her $258 Kate Spade bag. Talk about a perfect modern-yet-nostalgic combo!";"The Ara Top, which everyone online seems to be obsessed with, also features a built-in scarf detail, flutter sleeves, and, to add to the peekaboo effect, a keyhole center that extends to the bodice with button-up detailing. Less is, indeed, more — at least when it comes to the fabric construction of these pieces.

If you thought Rodrigo's homage to the '00s ended with her jeans, think again. The star also added a thick silver bangle, another Y2K staple, as well as just a hint of leopard print with her $258 Kate Spade bag. Talk about a perfect modern-yet-nostalgic combo!";
AOL;19 Juli 2025;Olivia Rodrigo Just Resurrected This Iconic Y2K Belt Style;"""Hearst Magazines and Yahoo may earn commission or revenue on some items through these links.""

Music festival season is still in full swing, and Olivia Rodrigo is having the time of her life.

Fresh off headlining Glastonbury in England—where she surprised fans by bringing out Robert Smith of The Cure to perform “Friday I’m in Love” and “Just Like Heaven”—the singer has returned to the stage, this time jetting off to the City of Light to headline another major event.

For her Lollapalooza Paris performance, Rodrigo continued her streak of blending edgy rock aesthetics with soft, feminine, Y2K-inspired pieces.

She wore a nostalgic chainmail halter top adorned with alternating silver and black stripes. The cropped piece featured an asymmetrical hemline with fringe details.";"""Hearst Magazines and Yahoo may earn commission or revenue on some items through these links.""

Music festival season is still in full swing, and Olivia Rodrigo is having the time of her life.

Fresh off headlining Glastonbury in England—where she surprised fans by bringing out Robert Smith of The Cure to perform “Friday I’m in Love” and “Just Like Heaven”—the singer has returned to the stage, this time jetting off to the City of Light to headline another major event.

For her Lollapalooza Paris performance, Rodrigo continued her streak of blending edgy rock aesthetics with soft, feminine, Y2K-inspired pieces.

She wore a nostalgic chainmail halter top adorned with alternating silver and black stripes. The cropped piece featured an asymmetrical hemline with fringe details.";https://www.aol.com/olivia-rodrigo-just-resurrected-iconic-145200853.html
