CNN,Tangal,,,
https://www.cnn.com/2017/07/10/politics/secret-documents-qatar-crisis-gulf-saudi/index.html,11/07/2017,,,
https://www.cnn.com/2017/06/05/middleeast/saudi-bahrain-egypt-uae-qatar-terror/index.html,05/06/2017,,Berita CNN,Linimasa Bulan
https://www.cnn.com/2017/06/23/middleeast/gulf-nations-qatar-demands/index.html,23/06/2017,,17,Juni
https://www.cnn.com/2017/06/06/middleeast/qatar-middle-east-diplomatic-freeze/index.html,06/06/2017,,5,Juli
https://edition.cnn.com/2017/10/26/middleeast/saudi-crown-prince-qatar/index.html,26/10/2017,,2,Agt
https://edition.cnn.com/2017/07/03/middleeast/qatar-deadline-extended/index.html,03/07/2017,,1,Okt
https://www.cnn.com/2017/06/13/middleeast/qatar-crisis-hamas/index.html,13/06/2017,,1,Des
https://www.cnn.com/2017/07/20/middleeast/qatar-ambassador-un-demands/index.html,20/07/2017,,,
https://www.cnn.com/2017/06/07/middleeast/qatar-crisis-analysis/index.html,07/06/2017,,Berita BBC,Linimasa Bulan
https://www.cnn.com/2017/06/06/politics/qatari-ambassador-terror-allegations/index.html,06/06/2017,,20,Jun
https://www.cnn.com/2017/06/20/politics/us-mystified-qatar-embargo/index.html,21/06/2017,,4,Jul
http://money.cnn.com/2017/06/05/investing/qatar-investment-sovereign-wealth-fund/index.html,07/06/2017,,1,Agt
https://www.cnn.com/2017/06/06/politics/trump-qatar-ideology/index.html,06/06/2017,,,
https://www.cnn.com/2017/06/09/politics/trump-qatar-saudi-gulf-crisis/index.html,10/06/2017,,,
https://www.cnn.com/2017/06/07/politics/trump-qatar-call/index.html,08/06/2017,,,
https://edition.cnn.com/2017/06/07/football/qatar-world-cup-2022-future-gulf-crisis/index.html,07/06/2017,,,
https://www.cnn.com/2017/06/27/middleeast/tillerson-qatar-fm/index.html,27/06/2017,,,
https://www.cnn.com/2017/06/23/opinions/doyle-qatar-saudi-opinion/index.html,23/06/2017,,,
https://www.cnn.com/2017/07/02/middleeast/qatar-patriotism/index.html,02/07/2017,,,
https://money.cnn.com/2017/06/11/news/qatar-john-ashcroft/,11/06/2017,,,
https://www.cnn.com/2017/07/12/news/qatar-flying-cows-milk-shortage/index.html,12/07/2017,,,
https://edition.cnn.com/2017/06/21/opinions/saudi-game-of-thrones-ghitis/index.html,21/06/2017,,,
https://www.cnn.com/2017/06/10/opinions/qatar-student-oma-seddiq-opinion/index.html,10/06/2017,,,
https://www.cnn.com/2017/08/07/middleeast/al-jazeera-israel-ban/index.html,07/08/2017,,,
https://edition.cnn.com/2017/08/04/middleeast/neymar-qatar-connection/index.html,04/08/2017,,,
http://money.cnn.com/2017/12/27/investing/best-stock-markets-2017-world/index.html,29/12/2017,,,
,,,,
BBC,Tanggal,,,
https://www.bbc.com/news/world-middle-east-40173757,19 Jul 2017,,,
https://www.bbc.com/news/world-middle-east-40159080,5 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40155829,5 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-41035672,24 Agu 2017,,,
https://www.bbc.com/news/world-middle-east-40182599,6 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40164552,5 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40192730,7 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40168856,6 Jun 2017,,,
https://www.bbc.co.uk/news/world-middle-east-40769235,30 Jul 2017,,,
https://www.bbc.com/news/business-40168780,6 Jun 2017,,,
https://www.bbc.co.uk/news/world-middle-east-40387164,23 Jun 2017,,,
https://www.bbc.com/indonesia/dunia-40157225,5 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40630602,17 Jul 2017,,,
https://www.bbc.com/news/world-middle-east-40391224,24 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40187414,8 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40262713,14 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40378221,23 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40175935,6 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40205878,8 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40387894,23 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40219622,9 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40346329,20 Jun 2017,,,
https://www.bbc.com/news/world-us-canada-40180945,6 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40200927,8 Jun 2017,,,
https://www.bbc.com/news/world-middle-east-40687981,21 Jul 2017,,,
